player,wkts,bb_bf,mdns,econ,4s,6s,sr,mins
AL Phehlukwayo (SA),1.0,42,0.0,5.14,0.0,0.0,,
V Kohli (IND),1.0,21,0.0,4.165,0.0,0.0,,
Shubman Gill (IND),0.0,12,0.0,5.5,0.0,0.0,,
Shariz Ahmad (NED),0.0,12,0.0,6.5,0.0,0.0,,
Najmul Hossain Shanto (BAN),0.0,6,0.0,5.0,0.0,0.0,,
SA Yadav (IND),0.0,12,0.0,8.5,0.0,0.0,,
Rahmat Shah (AFG),0.0,6,0.0,12.0,0.0,0.0,,
Agha Salman (PAK),0.0,30,0.0,9.415,0.0,0.0,,
R Klein (NED),0.0,42,1.0,5.85,0.0,0.0,,
C Green (AUS),0.0,12,0.0,5.5,0.0,0.0,,
Nasum Ahmed (BAN),0.0,147,0.0,6.736666666666667,0.0,0.0,,
C Karunaratne (SL),0.0,72,1.0,5.720000000000001,0.0,0.0,,
Mahmudullah (BAN),0.0,30,0.0,6.553333333333334,0.0,0.0,,
DJ Mitchell (NZ),0.0,9,0.0,6.5,0.0,0.0,,
MD Shanaka (SL),0.0,66,0.0,5.8,0.0,0.0,,
MADI Hemantha (SL),0.0,96,0.0,5.875,0.0,0.0,,
DM de Silva (SL),0.0,150,0.0,7.405,0.0,0.0,,
KIC Asalanka (SL),0.0,6,0.0,10.0,0.0,0.0,,
IS Sodhi (NZ),0.0,24,0.0,11.0,0.0,0.0,,
Vikramjit Singh (NED),0.0,42,0.0,7.916666666666667,0.0,0.0,,
