player,runs,bb_bf_batting,4s_batting,6s_batting,sr_batting,not_out,mins_batting,wkts,bb_bf_bowling,mdns,econ,4s_bowling,6s_bowling,sr_bowling,mins_bowling,total_runs
A Dutt (NED),70.0,87.0,1.0,5.0,88.58666666666666,3.0,13.777777777777779,10.0,465.0,6.0,5.566666666666666,0.0,0.0,,,80.0
MD Shanaka (SL),80.0,80.0,6.0,3.0,88.16499999999999,0.0,54.5,0.0,66.0,0.0,5.8,0.0,0.0,,,80.0
KA Maharaj (SA),59.0,78.0,7.0,1.0,71.012,2.0,23.8,15.0,534.0,1.0,4.9350000000000005,0.0,0.0,,,74.0
RE van der Merwe (NED),68.0,85.0,4.0,3.0,69.97,0.0,14.25,6.0,336.0,0.0,5.859999999999999,0.0,0.0,,,74.0
G Coetzee (SA),54.0,78.0,4.0,1.0,80.32000000000001,0.0,25.0,20.0,381.0,1.0,6.4425,0.0,0.0,,,74.0
Shaheen Shah Afridi (PAK),55.0,60.0,7.0,1.0,85.33666666666666,3.0,14.833333333333334,18.0,486.0,3.0,5.895555555555556,0.0,0.0,,,73.0
A Zampa (AUS),48.0,60.0,5.0,0.0,75.23,3.0,14.0,22.0,516.0,1.0,5.38,0.0,0.0,,,70.0
Haris Rauf (PAK),53.0,43.0,5.0,4.0,99.92666666666666,0.0,15.333333333333334,16.0,474.0,1.0,6.768888888888889,0.0,0.0,,,69.0
LS Livingstone (ENG),60.0,94.0,6.0,0.0,46.278333333333336,0.0,18.333333333333332,3.0,174.0,1.0,5.923333333333333,0.0,0.0,,,63.0
Mohammad Nabi (AFG),55.0,76.0,3.0,1.0,74.13333333333334,0.0,19.5,8.0,369.0,4.0,4.868888888888889,0.0,0.0,,,63.0
C Green (AUS),63.0,83.0,6.0,0.0,67.7,0.0,42.333333333333336,0.0,12.0,0.0,5.5,0.0,0.0,,,63.0
CAK Rajitha (SL),52.0,57.0,6.0,1.0,65.055,0.0,21.75,8.0,294.0,1.0,7.243333333333333,0.0,0.0,,,60.0
JDS Neesham (NZ),58.0,47.0,3.0,3.0,74.355,0.0,35.0,2.0,87.0,0.0,12.18,0.0,0.0,,,60.0
Mujeeb Ur Rahman (AFG),51.0,40.0,6.0,2.0,115.332,1.0,12.4,8.0,491.0,2.0,5.666666666666667,0.0,0.0,,,59.0
AD Mathews (SL),51.0,78.0,4.0,1.0,48.927499999999995,0.0,38.25,6.0,133.0,2.0,4.918,0.0,0.0,,,57.0
Taskin Ahmed (BAN),49.0,93.0,1.0,3.0,45.408,1.0,26.2,5.0,330.0,3.0,5.632857142857143,0.0,0.0,,,54.0
Agha Salman (PAK),51.0,45.0,6.0,1.0,113.33,0.0,53.0,0.0,30.0,0.0,9.415,0.0,0.0,,,51.0
D Madushanka (SL),28.0,56.0,4.0,0.0,107.63666666666666,1.0,21.333333333333332,21.0,470.0,4.0,6.786666666666666,0.0,0.0,,,49.0
Mustafizur Rahman (BAN),42.0,89.0,4.0,1.0,39.99666666666666,2.0,23.5,5.0,394.0,3.0,5.98875,0.0,0.0,,,47.0
AAP Atkinson (ENG),37.0,23.0,7.0,0.0,122.21999999999998,1.0,13.0,4.0,144.0,0.0,6.043333333333333,0.0,0.0,,,41.0
Nasum Ahmed (BAN),40.0,48.0,5.0,0.0,80.46666666666667,0.0,21.0,0.0,147.0,0.0,6.736666666666667,0.0,0.0,,,40.0
AL Phehlukwayo (SA),39.0,37.0,1.0,3.0,105.4,1.0,46.0,1.0,42.0,0.0,5.14,0.0,0.0,,,40.0
Mahedi Hasan (BAN),33.0,73.0,2.0,0.0,51.71333333333333,1.0,31.333333333333332,6.0,144.0,0.0,6.266666666666666,0.0,0.0,,,39.0
PA van Meekeren (NED),26.0,54.0,3.0,0.0,62.08125,2.0,8.0,12.0,446.0,1.0,5.972222222222222,0.0,0.0,,,38.0
Shoriful Islam (BAN),28.0,28.0,3.0,1.0,112.14000000000001,4.0,8.0,10.0,388.0,3.0,6.28,0.0,0.0,,,38.0
K Rabada (SA),25.0,44.0,0.0,2.0,85.46666666666665,0.0,17.666666666666668,13.0,437.0,7.0,5.06,0.0,0.0,,,38.0
SM Curran (ENG),35.0,57.0,1.0,0.0,63.49333333333334,0.0,24.0,2.0,104.0,2.0,8.576666666666666,0.0,0.0,,,37.0
TA Boult (NZ),21.0,24.0,1.0,1.0,96.42666666666666,2.0,14.333333333333334,14.0,546.0,6.0,5.535,0.0,0.0,,,35.0
JJ Bumrah (IND),17.0,26.0,1.0,0.0,82.0,1.0,22.5,18.0,497.0,7.0,3.785,0.0,0.0,,,35.0
