,player,ground,runs,wkts
536,Mushfiqur Rahim (BAN),Eden Gardens,6,0.0
537,Mushfiqur Rahim (BAN),Pune,59,0.0
538,Mushfiqur Rahim (BAN),Wankhede,8,0.0
539,Mustafizur Rahman (BAN),Chennai,40,1.0
540,Mustafizur Rahman (BAN),Dharamsala,101,1.0
541,Mustafizur Rahman (BAN),Eden Gardens,106,2.0
542,Mustafizur Rahman (BAN),Pune,106,1.0
543,Mustafizur Rahman (BAN),Wankhede,87,0.0
544,Najibullah Zadran (AFG),Delhi,2,0.0
545,Najibullah Zadran (AFG),Dharamsala,5,0.0
546,Najmul Hossain Shanto (BAN),Chennai,7,0.0
547,Najmul Hossain Shanto (BAN),Delhi,90,0.0
548,Najmul Hossain Shanto (BAN),Dharamsala,59,0.0
549,Najmul Hossain Shanto (BAN),Eden Gardens,18,0.0
550,Najmul Hossain Shanto (BAN),Pune,53,0.0
551,Najmul Hossain Shanto (BAN),Wankhede,0,0.0
552,Nasum Ahmed (BAN),Pune,166,0.0
553,Nasum Ahmed (BAN),Wankhede,46,0.0
554,Naveen-ul-Haq (AFG),Ahmedabad,54,0.0
555,Naveen-ul-Haq (AFG),Chennai,100,4.0
556,Naveen-ul-Haq (AFG),Delhi,89,1.0
557,Naveen-ul-Haq (AFG),Dharamsala,31,1.0
558,Naveen-ul-Haq (AFG),Pune,47,0.0
559,Naveen-ul-Haq (AFG),Wankhede,47,2.0
560,Noor Ahmad (AFG),Ahmedabad,75,0.0
561,Noor Ahmad (AFG),Chennai,49,3.0
562,Noor Ahmad (AFG),Lucknow,31,2.0
563,Noor Ahmad (AFG),Wankhede,53,0.0
564,P Nissanka (SL),Bengaluru,79,0.0
565,P Nissanka (SL),Delhi,41,0.0
566,P Nissanka (SL),Hyderabad,51,0.0
567,P Nissanka (SL),Lucknow,115,0.0
568,P Nissanka (SL),Pune,46,0.0
569,P Nissanka (SL),Wankhede,0,0.0
570,PA van Meekeren (NED),Bengaluru,93,1.0
571,PA van Meekeren (NED),Delhi,64,0.0
572,PA van Meekeren (NED),Dharamsala,40,2.0
573,PA van Meekeren (NED),Eden Gardens,23,4.0
574,PA van Meekeren (NED),Hyderabad,110,3.0
575,PA van Meekeren (NED),Lucknow,82,1.0
576,PA van Meekeren (NED),Pune,61,1.0
577,PJ Cummins (AUS),Ahmedabad,59,2.0
578,PJ Cummins (AUS),Bengaluru,68,2.0
579,PJ Cummins (AUS),Chennai,48,0.0
580,PJ Cummins (AUS),Delhi,26,1.0
581,PJ Cummins (AUS),Dharamsala,103,2.0
582,PJ Cummins (AUS),Eden Gardens,65,3.0
583,PJ Cummins (AUS),Lucknow,125,3.0
584,PJ Cummins (AUS),Pune,56,0.0
585,PJ Cummins (AUS),Wankhede,59,0.0
586,PVD Chameera (SL),Bengaluru,21,1.0
587,PVD Chameera (SL),Delhi,58,0.0
588,PVD Chameera (SL),Pune,52,0.0
589,PVD Chameera (SL),Wankhede,71,1.0
590,Q de Kock (SA),Ahmedabad,41,0.0
591,Q de Kock (SA),Chennai,24,0.0
592,Q de Kock (SA),Delhi,100,0.0
593,Q de Kock (SA),Dharamsala,20,0.0
594,Q de Kock (SA),Eden Gardens,8,0.0
595,Q de Kock (SA),Lucknow,109,0.0
596,Q de Kock (SA),Pune,114,0.0
597,Q de Kock (SA),Wankhede,178,0.0
598,R Ashwin (IND),Chennai,34,1.0
599,R Klein (NED),Hyderabad,49,0.0
600,R Ravindra (NZ),Ahmedabad,199,1.0
601,R Ravindra (NZ),Bengaluru,171,2.0
602,R Ravindra (NZ),Chennai,112,1.0
603,R Ravindra (NZ),Dharamsala,293,0.0
604,R Ravindra (NZ),Hyderabad,97,1.0
605,R Ravindra (NZ),Pune,26,0.0
606,R Ravindra (NZ),Wankhede,73,0.0
607,RA Jadeja (IND),Ahmedabad,38,2.0
608,RA Jadeja (IND),Bengaluru,49,2.0
609,RA Jadeja (IND),Chennai,28,3.0
610,RA Jadeja (IND),Delhi,38,0.0
611,RA Jadeja (IND),Dharamsala,87,0.0
612,RA Jadeja (IND),Eden Gardens,62,5.0
613,RA Jadeja (IND),Lucknow,24,1.0
614,RA Jadeja (IND),Pune,38,2.0
615,RA Jadeja (IND),Wankhede,102,1.0
616,RE van der Merwe (NED),Bengaluru,69,1.0
617,RE van der Merwe (NED),Delhi,41,0.0
618,RE van der Merwe (NED),Dharamsala,63,2.0
619,RE van der Merwe (NED),Hyderabad,97,2.0
620,RE van der Merwe (NED),Lucknow,87,1.0
621,RE van der Merwe (NED),Pune,22,0.0
622,RG Sharma (IND),Ahmedabad,86,0.0
623,RG Sharma (IND),Bengaluru,68,1.0
624,RG Sharma (IND),Chennai,0,0.0
625,RG Sharma (IND),Delhi,131,0.0
626,RG Sharma (IND),Dharamsala,46,0.0
627,RG Sharma (IND),Eden Gardens,40,0.0
628,RG Sharma (IND),Lucknow,87,0.0
629,RG Sharma (IND),Pune,48,0.0
630,RG Sharma (IND),Wankhede,51,0.0
631,RJW Topley (ENG),Delhi,67,1.0
632,RJW Topley (ENG),Dharamsala,44,4.0
633,RJW Topley (ENG),Wankhede,88,3.0
634,RR Hendricks (SA),Wankhede,97,0.0
635,Rahmanullah Gurbaz (AFG),Ahmedabad,25,0.0
636,Rahmanullah Gurbaz (AFG),Chennai,76,0.0
637,Rahmanullah Gurbaz (AFG),Delhi,101,0.0
638,Rahmanullah Gurbaz (AFG),Dharamsala,47,0.0
639,Rahmanullah Gurbaz (AFG),Lucknow,10,0.0
640,Rahmanullah Gurbaz (AFG),Pune,0,0.0
641,Rahmanullah Gurbaz (AFG),Wankhede,21,0.0
642,Rahmat Shah (AFG),Ahmedabad,38,0.0
643,Rahmat Shah (AFG),Chennai,113,0.0
644,Rahmat Shah (AFG),Delhi,19,0.0
645,Rahmat Shah (AFG),Dharamsala,18,0.0
646,Rahmat Shah (AFG),Lucknow,52,0.0
647,Rahmat Shah (AFG),Pune,62,0.0
648,Rahmat Shah (AFG),Wankhede,30,0.0
649,Rashid Khan (AFG),Ahmedabad,51,2.0
650,Rashid Khan (AFG),Chennai,92,1.0
651,Rashid Khan (AFG),Delhi,133,5.0
652,Rashid Khan (AFG),Dharamsala,57,0.0
653,Rashid Khan (AFG),Lucknow,31,0.0
654,Rashid Khan (AFG),Pune,50,1.0
655,Rashid Khan (AFG),Wankhede,79,2.0
656,S Samarawickrama (SL),Bengaluru,66,0.0
657,S Samarawickrama (SL),Delhi,64,0.0
658,S Samarawickrama (SL),Hyderabad,108,0.0
659,S Samarawickrama (SL),Lucknow,99,0.0
660,S Samarawickrama (SL),Pune,36,0.0
661,S Samarawickrama (SL),Wankhede,0,0.0
662,SA Abbott (AUS),Pune,61,2.0
663,SA Edwards (NED),Bengaluru,17,0.0
664,SA Edwards (NED),Delhi,12,0.0
665,SA Edwards (NED),Dharamsala,78,0.0
666,SA Edwards (NED),Eden Gardens,68,0.0
667,SA Edwards (NED),Hyderabad,30,0.0
668,SA Edwards (NED),Lucknow,16,0.0
669,SA Edwards (NED),Pune,38,0.0
670,SA Engelbrecht (NED),Bengaluru,45,0.0
671,SA Engelbrecht (NED),Delhi,11,0.0
672,SA Engelbrecht (NED),Dharamsala,19,0.0
673,SA Engelbrecht (NED),Eden Gardens,35,0.0
674,SA Engelbrecht (NED),Hyderabad,29,0.0
675,SA Engelbrecht (NED),Lucknow,128,0.0
676,SA Engelbrecht (NED),Pune,33,0.0
677,SA Yadav (IND),Bengaluru,19,0.0
678,SA Yadav (IND),Dharamsala,2,0.0
679,SA Yadav (IND),Eden Gardens,22,0.0
680,SA Yadav (IND),Lucknow,49,0.0
681,SA Yadav (IND),Wankhede,12,0.0
682,SA Yadav(IND),Wankhede,1,0.0
683,SM Curran (ENG),Ahmedabad,61,1.0
684,SM Curran (ENG),Delhi,56,0.0
685,SM Curran (ENG),Dharamsala,58,1.0
686,SN Thakur (IND),Ahmedabad,12,0.0
687,SN Thakur (IND),Delhi,31,1.0
688,SN Thakur (IND),Pune,59,1.0
689,SPD Smith (AUS),Ahmedabad,44,0.0
690,SPD Smith (AUS),Bengaluru,7,0.0
691,SPD Smith (AUS),Chennai,46,0.0
692,SPD Smith (AUS),Delhi,71,0.0
693,SPD Smith (AUS),Dharamsala,18,0.0
694,SPD Smith (AUS),Eden Gardens,30,0.0
695,SPD Smith (AUS),Lucknow,19,0.0
696,SPD Smith (AUS),Pune,63,0.0
697,SS Iyer (IND),Ahmedabad,53,0.0
698,SS Iyer (IND),Bengaluru,128,0.0
699,SS Iyer (IND),Chennai,0,0.0
700,SS Iyer (IND),Delhi,25,0.0
701,SS Iyer (IND),Dharamsala,33,0.0
702,SS Iyer (IND),Eden Gardens,77,0.0
703,SS Iyer (IND),Lucknow,4,0.0
704,SS Iyer (IND),Pune,19,0.0
705,SS Iyer (IND),Wankhede,187,0.0
706,Saqib Zulfiqar (NED),Hyderabad,25,0.0
707,Saqib Zulfiqar (NED),Lucknow,28,1.0
708,Saud Shakeel (PAK),Ahmedabad,6,0.0
709,Saud Shakeel (PAK),Bengaluru,30,0.0
710,Saud Shakeel (PAK),Chennai,77,0.0
711,Saud Shakeel (PAK),Eden Gardens,29,0.0
712,Saud Shakeel (PAK),Hyderabad,99,0.0
713,Shadab Khan (PAK),Ahmedabad,33,0.0
714,Shadab Khan (PAK),Chennai,132,0.0
715,Shadab Khan (PAK),Eden Gardens,61,0.0
716,Shadab Khan (PAK),Hyderabad,132,2.0
717,Shaheen Shah Afridi (PAK),Ahmedabad,38,2.0
718,Shaheen Shah Afridi (PAK),Bengaluru,154,5.0
719,Shaheen Shah Afridi (PAK),Chennai,108,4.0
720,Shaheen Shah Afridi (PAK),Eden Gardens,120,5.0
721,Shaheen Shah Afridi (PAK),Hyderabad,116,2.0
722,Shakib Al Hasan (BAN),Chennai,94,1.0
723,Shakib Al Hasan (BAN),Delhi,139,2.0
724,Shakib Al Hasan (BAN),Dharamsala,97,4.0
725,Shakib Al Hasan (BAN),Eden Gardens,115,1.0
726,Shakib Al Hasan (BAN),Wankhede,70,1.0
727,Shariz Ahmad (NED),Eden Gardens,19,0.0
728,Shoriful Islam (BAN),Chennai,45,0.0
729,Shoriful Islam (BAN),Delhi,51,2.0
730,Shoriful Islam (BAN),Dharamsala,121,5.0
731,Shoriful Islam (BAN),Eden Gardens,77,2.0
732,Shoriful Islam (BAN),Pune,61,0.0
733,Shoriful Islam (BAN),Wankhede,82,1.0
734,Shubman Gill (IND),Ahmedabad,16,0.0
735,Shubman Gill (IND),Bengaluru,62,0.0
736,Shubman Gill (IND),Dharamsala,26,0.0
737,Shubman Gill (IND),Eden Gardens,23,0.0
738,Shubman Gill (IND),Lucknow,9,0.0
739,Shubman Gill (IND),Pune,53,0.0
740,Shubman Gill (IND),Wankhede,172,0.0
741,T Bavuma (SA),Ahmedabad,23,0.0
742,T Bavuma (SA),Chennai,28,0.0
743,T Bavuma (SA),Delhi,8,0.0
744,T Bavuma (SA),Dharamsala,16,0.0
745,T Bavuma (SA),Eden Gardens,11,0.0
746,T Bavuma (SA),Lucknow,35,0.0
747,T Bavuma (SA),Pune,24,0.0
748,T Shamsi (SA),Chennai,64,4.0
749,T Shamsi (SA),Eden Gardens,119,3.0
750,T Shamsi (SA),Lucknow,38,2.0
751,TA Boult (NZ),Ahmedabad,48,1.0
752,TA Boult (NZ),Bengaluru,87,3.0
753,TA Boult (NZ),Chennai,63,4.0
754,TA Boult (NZ),Dharamsala,147,4.0
755,TA Boult (NZ),Hyderabad,34,0.0
756,TA Boult (NZ),Pune,58,1.0
757,TA Boult (NZ),Wankhede,88,1.0
758,TG Southee (NZ),Bengaluru,79,2.0
759,TG Southee (NZ),Pune,84,2.0
760,TG Southee (NZ),Wankhede,109,3.0
761,TM Head (AUS),Ahmedabad,39,0.0
762,TM Head (AUS),Dharamsala,109,0.0
763,TM Head (AUS),Eden Gardens,83,2.0
764,TM Head (AUS),Pune,43,0.0
765,TM Head (AUS),Wankhede,15,0.0
766,TWM Latham (NZ),Bengaluru,4,0.0
767,TWM Latham (NZ),Chennai,68,0.0
768,TWM Latham (NZ),Dharamsala,26,0.0
769,TWM Latham (NZ),Hyderabad,53,0.0
770,TWM Latham (NZ),Pune,4,0.0
771,TWM Latham (NZ),Wankhede,0,0.0
772,Tanzid Hasan (BAN),Chennai,16,0.0
773,Tanzid Hasan (BAN),Delhi,9,0.0
774,Tanzid Hasan (BAN),Dharamsala,6,0.0
775,Tanzid Hasan (BAN),Eden Gardens,15,0.0
776,Tanzid Hasan (BAN),Pune,87,0.0
777,Tanzid Hasan (BAN),Wankhede,12,0.0
778,Tanzim Hasan Sakib (BAN),Delhi,85,3.0
779,Taskin Ahmed (BAN),Chennai,73,0.0
780,Taskin Ahmed (BAN),Delhi,39,0.0
781,Taskin Ahmed (BAN),Dharamsala,85,2.0
782,Taskin Ahmed (BAN),Eden Gardens,96,2.0
783,Taskin Ahmed (BAN),Pune,61,1.0
784,Towhid Hridoy (BAN),Chennai,13,0.0
785,Towhid Hridoy (BAN),Delhi,15,0.0
786,Towhid Hridoy (BAN),Dharamsala,39,0.0
787,Towhid Hridoy (BAN),Eden Gardens,7,0.0
788,Towhid Hridoy (BAN),Pune,90,0.0
789,Usama Mir (PAK),Bengaluru,82,1.0
790,Usama Mir (PAK),Chennai,100,2.0
791,Usama Mir (PAK),Eden Gardens,66,1.0
792,V Kohli (IND),Ahmedabad,16,0.0
793,V Kohli (IND),Bengaluru,64,1.0
794,V Kohli (IND),Chennai,85,0.0
795,V Kohli (IND),Delhi,55,0.0
796,V Kohli (IND),Dharamsala,95,0.0
797,V Kohli (IND),Eden Gardens,101,0.0
798,V Kohli (IND),Lucknow,0,0.0
799,V Kohli (IND),Pune,105,0.0
800,V Kohli (IND),Wankhede,205,0.0
801,Vikramjit Singh (NED),Delhi,52,0.0
802,Vikramjit Singh (NED),Dharamsala,2,0.0
803,Vikramjit Singh (NED),Eden Gardens,3,0.0
804,Vikramjit Singh (NED),Hyderabad,89,0.0
805,Vikramjit Singh (NED),Lucknow,4,0.0
806,W Barresi (NED),Bengaluru,4,0.0
807,W Barresi (NED),Eden Gardens,41,0.0
808,W Barresi (NED),Lucknow,1,0.0
809,W Barresi (NED),Pune,37,0.0
810,WA Young (NZ),Ahmedabad,0,0.0
811,WA Young (NZ),Chennai,54,0.0
812,WA Young (NZ),Dharamsala,49,0.0
813,WA Young (NZ),Hyderabad,70,0.0
814,WA Young (NZ),Pune,33,0.0
