,player,ground,runs,wkts
109,CR Woakes (ENG),Lucknow,43,2.0
110,CR Woakes (ENG),Pune,70,1.0
111,D Madushanka (SL),Bengaluru,114,0.0
112,D Madushanka (SL),Delhi,159,5.0
113,D Madushanka (SL),Hyderabad,60,2.0
114,D Madushanka (SL),Lucknow,87,7.0
115,D Madushanka (SL),Pune,48,2.0
116,D Madushanka (SL),Wankhede,85,5.0
117,DA Miller (SA),Ahmedabad,24,0.0
118,DA Miller (SA),Chennai,29,0.0
119,DA Miller (SA),Delhi,39,0.0
120,DA Miller (SA),Dharamsala,43,0.0
121,DA Miller (SA),Eden Gardens,112,0.0
122,DA Miller (SA),Lucknow,17,0.0
123,DA Miller (SA),Pune,53,0.0
124,DA Miller (SA),Wankhede,39,0.0
125,DA Warner (AUS),Ahmedabad,15,0.0
126,DA Warner (AUS),Bengaluru,163,0.0
127,DA Warner (AUS),Chennai,41,0.0
128,DA Warner (AUS),Delhi,104,0.0
129,DA Warner (AUS),Dharamsala,81,0.0
130,DA Warner (AUS),Eden Gardens,29,0.0
131,DA Warner (AUS),Lucknow,24,0.0
132,DA Warner (AUS),Pune,53,0.0
133,DA Warner (AUS),Wankhede,18,0.0
134,DJ Malan (ENG),Ahmedabad,64,0.0
135,DJ Malan (ENG),Bengaluru,28,0.0
136,DJ Malan (ENG),Delhi,32,0.0
137,DJ Malan (ENG),Dharamsala,140,0.0
138,DJ Malan (ENG),Eden Gardens,31,0.0
139,DJ Malan (ENG),Lucknow,16,0.0
140,DJ Malan (ENG),Pune,87,0.0
141,DJ Malan (ENG),Wankhede,6,0.0
142,DJ Mitchell (NZ),Bengaluru,73,0.0
143,DJ Mitchell (NZ),Chennai,101,0.0
144,DJ Mitchell (NZ),Dharamsala,184,0.0
145,DJ Mitchell (NZ),Hyderabad,48,0.0
146,DJ Mitchell (NZ),Pune,24,0.0
147,DJ Mitchell (NZ),Wankhede,134,0.0
148,DJ Willey (ENG),Ahmedabad,63,1.0
149,DJ Willey (ENG),Bengaluru,44,2.0
150,DJ Willey (ENG),Eden Gardens,71,3.0
151,DJ Willey (ENG),Lucknow,61,3.0
152,DJ Willey (ENG),Pune,25,2.0
153,DJ Willey (ENG),Wankhede,73,0.0
154,DM de Silva (SL),Bengaluru,51,0.0
155,DM de Silva (SL),Delhi,104,0.0
156,DM de Silva (SL),Hyderabad,61,0.0
157,DM de Silva (SL),Lucknow,63,0.0
158,DM de Silva (SL),Pune,35,0.0
159,DN Wellalage (SL),Delhi,81,1.0
160,DN Wellalage (SL),Hyderabad,72,0.0
161,DN Wellalage (SL),Lucknow,55,1.0
162,DP Conway (NZ),Ahmedabad,152,0.0
163,DP Conway (NZ),Bengaluru,80,0.0
164,DP Conway (NZ),Chennai,65,0.0
165,DP Conway (NZ),Dharamsala,28,0.0
166,DP Conway (NZ),Hyderabad,32,0.0
167,DP Conway (NZ),Pune,2,0.0
168,DP Conway (NZ),Wankhede,13,0.0
169,FDM Karunaratne (SL),Pune,15,0.0
170,FDM Karunaratne (SL),Wankhede,0,0.0
171,Fakhar Zaman (PAK),Bengaluru,126,0.0
172,Fakhar Zaman (PAK),Eden Gardens,82,0.0
173,Fakhar Zaman (PAK),Hyderabad,12,0.0
174,Fazalhaq Farooqi (AFG),Chennai,39,0.0
175,Fazalhaq Farooqi (AFG),Delhi,102,1.0
176,Fazalhaq Farooqi (AFG),Dharamsala,19,1.0
177,Fazalhaq Farooqi (AFG),Lucknow,36,0.0
178,Fazalhaq Farooqi (AFG),Pune,34,4.0
179,G Coetzee (SA),Ahmedabad,44,4.0
180,G Coetzee (SA),Chennai,52,2.0
181,G Coetzee (SA),Delhi,68,3.0
182,G Coetzee (SA),Dharamsala,79,1.0
183,G Coetzee (SA),Eden Gardens,66,2.0
184,G Coetzee (SA),Pune,41,2.0
185,G Coetzee (SA),Wankhede,100,6.0
186,GD Phillips (NZ),Ahmedabad,17,2.0
187,GD Phillips (NZ),Bengaluru,103,0.0
188,GD Phillips (NZ),Chennai,113,1.0
189,GD Phillips (NZ),Dharamsala,84,3.0
190,GD Phillips (NZ),Hyderabad,15,0.0
191,GD Phillips (NZ),Pune,112,0.0
192,GD Phillips (NZ),Wankhede,74,0.0
193,GJ Maxwell (AUS),Bengaluru,40,0.0
194,GJ Maxwell (AUS),Chennai,48,0.0
195,GJ Maxwell (AUS),Delhi,106,0.0
196,GJ Maxwell (AUS),Dharamsala,103,1.0
197,GJ Maxwell (AUS),Eden Gardens,36,0.0
198,GJ Maxwell (AUS),Lucknow,104,3.0
199,GJ Maxwell (AUS),Wankhede,256,1.0
200,H Klaasen (SA),Ahmedabad,10,0.0
201,H Klaasen (SA),Chennai,12,0.0
202,H Klaasen (SA),Delhi,32,0.0
203,H Klaasen (SA),Dharamsala,28,0.0
204,H Klaasen (SA),Eden Gardens,48,0.0
205,H Klaasen (SA),Lucknow,29,0.0
206,H Klaasen (SA),Pune,15,0.0
207,H Klaasen (SA),Wankhede,199,0.0
208,HC Brook (ENG),Ahmedabad,25,0.0
209,HC Brook (ENG),Delhi,66,0.0
210,HC Brook (ENG),Dharamsala,20,0.0
211,HC Brook (ENG),Eden Gardens,30,0.0
212,HC Brook (ENG),Pune,11,0.0
213,HC Brook (ENG),Wankhede,17,0.0
214,HE van der Dussen (SA),Ahmedabad,76,0.0
215,HE van der Dussen (SA),Chennai,21,0.0
216,HE van der Dussen (SA),Delhi,108,0.0
217,HE van der Dussen (SA),Dharamsala,4,0.0
218,HE van der Dussen (SA),Eden Gardens,19,0.0
219,HE van der Dussen (SA),Lucknow,26,0.0
220,HE van der Dussen (SA),Pune,133,0.0
221,HE van der Dussen (SA),Wankhede,61,0.0
222,HH Pandya (IND),Ahmedabad,34,2.0
223,HH Pandya (IND),Chennai,39,1.0
224,HH Pandya (IND),Delhi,43,2.0
225,HH Pandya (IND),Pune,8,0.0
226,Haris Rauf (PAK),Ahmedabad,45,0.0
227,Haris Rauf (PAK),Bengaluru,168,4.0
228,Haris Rauf (PAK),Chennai,115,2.0
229,Haris Rauf (PAK),Eden Gardens,135,5.0
230,Haris Rauf (PAK),Hyderabad,123,5.0
231,Hasan Ali (PAK),Ahmedabad,46,1.0
232,Hasan Ali (PAK),Bengaluru,147,1.0
233,Hasan Ali (PAK),Chennai,44,1.0
234,Hasan Ali (PAK),Hyderabad,104,6.0
235,Hasan Mahmud (BAN),Pune,65,1.0
236,Hasan Mahmud (BAN),Wankhede,82,2.0
237,Hashmatullah Shahidi (AFG),Ahmedabad,2,0.0
238,Hashmatullah Shahidi (AFG),Chennai,56,0.0
239,Hashmatullah Shahidi (AFG),Delhi,94,0.0
240,Hashmatullah Shahidi (AFG),Dharamsala,18,0.0
241,Hashmatullah Shahidi (AFG),Lucknow,56,0.0
242,Hashmatullah Shahidi (AFG),Pune,58,0.0
243,Hashmatullah Shahidi (AFG),Wankhede,26,0.0
244,IS Sodhi (NZ),Bengaluru,44,0.0
245,Ibrahim Zadran (AFG),Ahmedabad,15,0.0
246,Ibrahim Zadran (AFG),Chennai,101,0.0
247,Ibrahim Zadran (AFG),Delhi,50,0.0
248,Ibrahim Zadran (AFG),Dharamsala,22,0.0
249,Ibrahim Zadran (AFG),Lucknow,20,0.0
250,Ibrahim Zadran (AFG),Pune,39,0.0
251,Ibrahim Zadran (AFG),Wankhede,129,0.0
252,Iftikhar Ahmed (PAK),Ahmedabad,4,0.0
253,Iftikhar Ahmed (PAK),Bengaluru,118,1.0
254,Iftikhar Ahmed (PAK),Chennai,111,0.0
255,Iftikhar Ahmed (PAK),Eden Gardens,102,2.0
256,Iftikhar Ahmed (PAK),Hyderabad,69,1.0
257,Ikram Alikhil (AFG),Ahmedabad,12,0.0
258,Ikram Alikhil (AFG),Chennai,19,0.0
259,Ikram Alikhil (AFG),Delhi,58,0.0
260,Imam-ul-Haq (PAK),Ahmedabad,36,0.0
261,Imam-ul-Haq (PAK),Bengaluru,70,0.0
262,Imam-ul-Haq (PAK),Chennai,29,0.0
263,Imam-ul-Haq (PAK),Hyderabad,27,0.0
264,Ishan Kishan (IND),Chennai,0,0.0
265,Ishan Kishan (IND),Delhi,47,0.0
266,JC Buttler (ENG),Ahmedabad,44,0.0
267,JC Buttler (ENG),Bengaluru,8,0.0
268,JC Buttler (ENG),Delhi,9,0.0
269,JC Buttler (ENG),Dharamsala,20,0.0
270,JC Buttler (ENG),Eden Gardens,27,0.0
271,JC Buttler (ENG),Lucknow,10,0.0
272,JC Buttler (ENG),Pune,5,0.0
273,JC Buttler (ENG),Wankhede,15,0.0
274,JDS Neesham (NZ),Ahmedabad,56,0.0
275,JDS Neesham (NZ),Dharamsala,90,1.0
276,JDS Neesham (NZ),Pune,69,1.0
277,JE Root (ENG),Ahmedabad,90,0.0
278,JE Root (ENG),Bengaluru,3,0.0
279,JE Root (ENG),Delhi,30,1.0
280,JE Root (ENG),Dharamsala,82,0.0
281,JE Root (ENG),Eden Gardens,60,0.0
282,JE Root (ENG),Lucknow,0,0.0
283,JE Root (ENG),Pune,28,0.0
284,JE Root (ENG),Wankhede,50,0.0
285,JJ Bumrah (IND),Ahmedabad,19,2.0
286,JJ Bumrah (IND),Bengaluru,33,2.0
287,JJ Bumrah (IND),Chennai,35,2.0
288,JJ Bumrah (IND),Delhi,39,4.0
289,JJ Bumrah (IND),Dharamsala,45,1.0
290,JJ Bumrah (IND),Eden Gardens,14,0.0
291,JJ Bumrah (IND),Lucknow,48,3.0
292,JJ Bumrah (IND),Pune,41,2.0
293,JJ Bumrah (IND),Wankhede,73,2.0
294,JM Bairstow (ENG),Ahmedabad,33,0.0
295,JM Bairstow (ENG),Bengaluru,30,0.0
296,JM Bairstow (ENG),Delhi,2,0.0
297,JM Bairstow (ENG),Dharamsala,52,0.0
298,JM Bairstow (ENG),Eden Gardens,59,0.0
299,JM Bairstow (ENG),Lucknow,14,0.0
300,JM Bairstow (ENG),Pune,15,0.0
301,JM Bairstow (ENG),Wankhede,10,0.0
302,JP Inglis (AUS),Ahmedabad,3,0.0
303,JP Inglis (AUS),Bengaluru,13,0.0
304,JP Inglis (AUS),Delhi,14,0.0
305,JP Inglis (AUS),Dharamsala,38,0.0
306,JP Inglis (AUS),Eden Gardens,28,0.0
307,JP Inglis (AUS),Lucknow,63,0.0
308,JP Inglis (AUS),Wankhede,0,0.0
309,JR Hazlewood (AUS),Ahmedabad,50,2.0
310,JR Hazlewood (AUS),Bengaluru,37,1.0
311,JR Hazlewood (AUS),Chennai,39,3.0
312,JR Hazlewood (AUS),Delhi,27,1.0
313,JR Hazlewood (AUS),Dharamsala,70,2.0
314,JR Hazlewood (AUS),Eden Gardens,12,2.0
315,JR Hazlewood (AUS),Lucknow,98,1.0
