,team,opposition,runs,wkts
0,AFG,v England,480,10.0
1,AUS,v South Africa,871,17.0
2,BAN,v Afghanistan,306,10.0
3,ENG,v Australia,519,10.0
4,ENG,v Bangladesh,580,10.0
5,ENG,v Pakistan,561,10.0
6,IND,v New Zealand,1241,19.0
7,NED,v South Africa,418,10.0
8,NZ,v Afghanistan,417,10.0
9,NZ,v Australia,744,10.0
10,NZ,v Sri Lanka,340,10.0
11,PAK,v Bangladesh,401,10.0
12,SA,v Australia,884,17.0
13,SL,v Netherlands,495,9.0
