,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
count,1406.0,1406.0,562.0,1406.0,1406.0,562.0,562.0,562.0,1406.0,844.0,844.0,844.0,844.0,844.0
mean,35.35348506401138,33.28449502133713,1.204626334519573,0.06960709681009956,0.9000339112546231,7.342526690391459,0.25622775800711745,5.946637010676156,1.4708392603129445,2.6113744075829386,0.7535545023696683,83.91497630331753,0.15165876777251186,42.81872037914692
std,25.234407368666684,28.048232504262053,1.1982369487121114,0.15017645204024865,0.4701630542722835,2.6797363360668816,0.5325471079511382,2.1415662817079992,0.4993265284095619,3.148090762920638,1.5055214064273617,52.37879760959315,0.3589025015308792,41.57762629783341
min,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.35,1.0,0.0,0.0,0.0,0.0,1.0
25%,14.0,11.0,0.0,0.010666895499999999,0.625,5.550000000000001,0.0,4.5,1.0,0.0,0.0,51.9025,0.0,12.0
50%,32.0,29.0,1.0,0.032258065,0.8796551725,8.0,0.0,5.675,1.0,2.0,0.0,81.93,0.0,28.0
75%,54.0,49.0,2.0,0.0621811225,1.131656604,10.0,0.0,7.12,2.0,4.0,1.0,107.14,0.0,60.25
max,143.0,201.0,7.0,1.0,6.0,10.0,3.0,16.0,2.0,21.0,11.0,600.0,1.0,217.0
